序号,用户名,链接,评分,评分标题,有用数,日期,评论
1,重案组都sir,https://www.douban.com/people/63156283/,allstar30 rating,还行,109,2016-06-17,虽然不是说老年人就可以理直气壮的插足别人的爱情 但是为了追一个人去偷偷翻他的facebook听电子乐看演唱会当模特参加party 真是太酷了 爱没爱到这个人已经不重要了 重要的是变成了better me
2,匡匡,https://www.douban.com/people/rakumm/,allstar30 rating,还行,149,2016-06-10,尴尬症一阵阵。女人年轻时一定把恋爱谈够，把男人睡够，等一把年纪、鸡皮鹤发时，不带任何遗憾的去做点别的开心事吧，游历山川也好，发展爱好也好，别再心心念念记挂着不属于自己的鲜肉了。奶孙恋什么的，接受唔到啊。知道这样说有点癌，但女人垂老，还缺爱情缺体验，不曾尽情为自己活过，真的很心酸。
3,迟三猫,https://www.douban.com/people/vera-chi/,allstar40 rating,推荐,116,2016-06-18,千万别浪费时间，老去后所有故事都成了悲壮。
4,百代过客,https://www.douban.com/people/JChinKynn/,comment-time ,2016-05-06 19:31:50,74,2016-05-06,第一眼把片名看成了《你好，我叫杜蕾斯》o(╯□╰)o
5,pat-paddy,https://www.douban.com/people/82560961/,allstar40 rating,推荐,81,2016-04-26,哈哈哈哈哈哈笑过，竟然有点小伤心。暗恋这件小事啊，什么年纪都一样。
6,傻乐的猫,https://www.douban.com/people/stupidcat7652/,comment-time ,2016-05-12 09:56:51,52,2016-05-12,欧洲人拍的话就是《钢琴教师》了，美国人还是乐观多了。
7,zzy花岗岩,https://www.douban.com/people/3718831/,allstar30 rating,还行,51,2016-06-08,莎莉·菲尔德将这个为了母亲付出了一生、孤独、收藏癖、喜感、渴望爱情的多蕾丝演的异常可爱动人。但剧本还是比较平庸，不切实际~
8,J,https://www.douban.com/people/avivalovestory/,allstar40 rating,推荐,42,2016-03-13,真的非常的可爱，虽然看着觉得自己以后可能会变成doris，还是不想要成为一个catlady。想要趁早谈恋爱，想要遇到可爱的他。
9,经年,https://www.douban.com/people/zzzyao19960706/,allstar40 rating,推荐,35,2016-06-06,抬头 挺胸 像Doris一样前进
10,白日美人_S,https://www.douban.com/people/stella_zhou/,allstar50 rating,力荐,23,2016-03-17,几乎没有瑕疵的剧本，老年版的coming of age story。导演的Q&A太他妈酷了，这导演太酷了，真的任性。
11,白牙尖,https://www.douban.com/people/justico/,allstar50 rating,力荐,17,2016-08-16,她住在自己的孤岛，每天靠渡船通向现实。（原声带太棒，去纽约的理由又多了一个。）
12,团酱麻心馅,https://www.douban.com/people/LK-Garden/,allstar50 rating,力荐,23,2016-06-30,不管 强行五星，少女不朽
13,Ziggy,https://www.douban.com/people/stardustziggy/,allstar10 rating,很差,16,2016-07-03,老女人暗恋小鲜肉，无可厚非，真爱之花开不奇葩。但是，脸书变态留言搅局鸳鸯一对，心中毫无愧疚。剥去浪漫电影的皮，说穿了就是一老三上位，恶心透顶。看片浪费一小时光阴。
14,夏奈,https://www.douban.com/people/ChannaDisco/,allstar30 rating,还行,20,2016-03-29,不管多少岁，在爱中的人们总是一样的。
15,喵子,https://www.douban.com/people/cloverllx/,allstar20 rating,较差,12,2016-06-18,可怕的＂现实＂，看得我差点儿扔掉所有粉色系少女配饰……比起电影，更像美剧。
16,Ron Chan,https://www.douban.com/people/RonChan/,allstar30 rating,还行,10,2016-06-06,气氛营造得很好，都市气息很浓，乍一看还挺贴切生活的，Doris这个角色被写得很立体，她的不切实际更是为电影增加了不少的笑料，不过毕竟是电影，一切都不是那么真实，所以看完了还是觉得感触不深。莎莉·菲尔德演得超级好，把Doris塑造得相当可爱，让人过目不忘。
17,Alary,https://www.douban.com/people/2387348/,allstar20 rating,较差,10,2016-06-14,多蕾丝追爱勇气可嘉，但方式我无法认同，拆散了男主和破产姐妹，最终赢得了可能的机会，如果他们在一起真的会幸福么？剧情也略无聊。。
18,萨库拉,https://www.douban.com/people/iisakura/,allstar30 rating,还行,6,2016-06-28,还是童话了。看到她跟年轻人们玩“我从来有做过”，神同步啊，真是real心酸。
19,苏小朵,https://www.douban.com/people/AriesSusan/,allstar40 rating,推荐,8,2016-06-09,迷之好笑尴尬和伤感
20,张霓,https://www.douban.com/people/dixueyaxiaojie/,allstar30 rating,还行,9,2016-03-28,实际是一部人生整理的电影，Doris长得像约克夏郡犬。>.<
21,蒸桑拿的冰激凌,https://www.douban.com/people/QUEEN113/,comment-time ,2016-11-27 03:42:49,6,2016-11-27,妈呀！抱憾终生的人生是由第一次画地为牢的选择开始的。警钟长鸣。别干扰我！
22,PageChen,https://www.douban.com/people/touchwonderful/,allstar50 rating,力荐,6,2016-08-28,这老太太太生动了！！！看起来笨拙，但是在可爱~~~瑜伽球充气那段太污了~~~老奶奶教育我们，要勇于尝试，敢于走出过去，I AM POSSIBLE
23,F–A♭–F,https://www.douban.com/people/2334495/,comment-time ,2016-07-28 23:02:28,5,2016-07-28,尴尬癌片。需要在b站弹幕帮助下观看。看完觉得：老年妇女就没有追鲜肉的权利吗？好像也不是不行，为什么我们都等着这个最后的失败结果降临呢。这是什么样的心态啊？因为她使用了一些卑鄙的伎俩吗？个人觉得这是人设成功的一点。还有一点就是她从未停止做梦，直到走人，到电梯前还未停止说明她一直在yy
24,伊麗莎白,https://www.douban.com/people/lulusphinx/,allstar30 rating,还行,3,2016-08-17,令人心酸的少女心·~~~谈恋爱趁早阿喂喂~！
25,Sabrina,https://www.douban.com/people/15401327/,allstar40 rating,推荐,4,2016-12-04,1. 女人爱情的障碍，年龄。男人就好像没有，至少有钱男人就没有这个障碍，不仅自己没有，社会也没有为了设置这个障碍。2. 改变，相信自己。
26,Nineveh,https://www.douban.com/people/NinevehQ/,allstar30 rating,还行,3,2016-06-11,看得我尴尬症要犯了
27,JulyChan,https://www.douban.com/people/JulyChan/,comment-time ,2016-06-23 21:04:39,5,2016-06-23,有多天真，就有多残忍。无论是电影还是人。
28,404,https://www.douban.com/people/qwishu/,allstar20 rating,较差,2,2016-06-24,尴尬
29,席德,https://www.douban.com/people/kydest/,allstar30 rating,还行,1,2016-11-18,人老了，肉身沉重，但灵魂执着地爱慕着少年，这个言情片其实就像《浮士德》的前传。老人恋上少男少女的故事总是个好题材——难道老了就不爱了，难道老人就不喜欢好看的人了？不，不是不喜欢，只是再也不可能得到了。影片挖掘得不深，但这种停留于浅表的叙述带来一种微妙冷淡的距离感，也不错。
30,Ear·Eros,https://www.douban.com/people/iear/,allstar40 rating,推荐,2,2016-06-06,我真的没想到莎莉菲尔德阿姨居然还能staring一部电影，苛刻的好莱坞终于给这些新好莱坞初期的演技派中流砥柱一点生路了嘛？
31,JoeyLu陆柏宇,https://www.douban.com/people/lubaiyu/,allstar30 rating,还行,0,2016-07-13,一段惊喜奇妙的老少恋，但我主要是来看BB的，没想到戏份少啊………
32,arvin,https://www.douban.com/people/4627071/,allstar40 rating,推荐,4,2016-09-27,看了后，孤单感更强了。
33,vivi,https://www.douban.com/people/vivifyvivi/,allstar30 rating,还行,0,2016-06-08,2.5 Sally Field 一如既往地神神经经，少女心实在叫人一额汗。好多美剧小明星。
34,⸜( ˙-˙ )⸝,https://www.douban.com/people/lanxinwu/,allstar20 rating,较差,1,2016-07-14,太尴尬了 没看完就关掉了。。。
35,地球包围外星人,https://www.douban.com/people/DBsummer/,allstar40 rating,推荐,1,2016-07-07,说不出什么感觉
36,瑴,https://www.douban.com/people/amyjuezhao/,allstar50 rating,力荐,2,2016-06-09,希望自己老的時候，心也能這樣少女。眼鏡真的很好看啊~
37,吃柚子不吐皮,https://www.douban.com/people/68264835/,allstar30 rating,还行,4,2016-07-16,看这部剧大概是想警醒我不要变成孤独养猫的老太太吧。
38,豆腐逼梦,https://www.douban.com/people/dobu_B/,allstar30 rating,还行,1,2016-12-21,a cat lady's wet dream
39,阿新,https://www.douban.com/people/sisi36/,allstar30 rating,还行,1,2016-06-09,还好最后结局没有在一起 不然就太狗血了
40,夏日的小西瓜,https://www.douban.com/people/53600614/,allstar40 rating,推荐,1,2016-11-12,选电影看的时候瞄到了这部，顺手上豆瓣搜了内容，立马决定今天就看这部了。满满少女心，不论最后有没有和男主在一起，女主已经在爱的过程中慢慢成为了better me，很受鼓舞。友情亲情爱情。话说男主的前女友很漂亮。Better late than never. 还有 Love makes people do crazy things.
41,李濛Lemon,https://www.douban.com/people/lm498521969/,allstar40 rating,推荐,5,2017-02-24,三星半。如果这片子是一个老男人配一个美少女，大概就不会有那么多人直呼尴尬了。可见这个社会对女人，尤其是未婚老女人还是有那么多偏见。我真挺喜欢这个片子的，敢于选这样的题材就很有勇气了，再加上那个干脆利落的开放式结局，很难说这片不好。另外女主角的衣品真好呀，把那么多色彩穿得那么漂亮。
42,BIGD,https://www.douban.com/people/1797671/,allstar40 rating,推荐,1,2016-07-21,这种题材的电影看起来好悲伤。青春逝去。惊喜是看见了Caroline和女子监狱的Nicky！那一口烟嗓~
43,气急败坏女疯子,https://www.douban.com/people/11471768/,allstar40 rating,推荐,0,2016-07-01,老太太的少女心，爱上小鲜肉美男
44,幻儿,https://www.douban.com/people/45311964/,allstar30 rating,还行,4,2016-06-30,色调很可爱 为家人付出了一生而放弃自我 放弃自己本可拥有的人生的人，内心并不是没有渴望的，经历是成长的必要条件，当你放弃了那部分，也就停滞了，某天如同老太太这样捡起，或许外人看来已不合时宜 不合年纪，可是对自己来说永远不会晚 只要经历了就好 最好是什么年纪干什么事 已错过的补救也不晚
45,雪后林中有鹿,https://www.douban.com/people/108077404/,allstar40 rating,推荐,4,2016-06-08,与众不同的糖水片，非常可爱的轻喜剧，一个并不年轻的女人追求小自己二十岁的男人的爱情故事，轻松幽默小温暖，结尾非常棒。勇于开始，谁说一定不可能呢？
46,tentwosix,https://www.douban.com/people/peggywang/,comment-time ,2016-12-05 12:23:19,0,2016-12-05,充溢的不真实感 老年女性的chick flick
47,小小虫,https://www.douban.com/people/xiaoxiaochonglt/,allstar40 rating,推荐,0,2016-10-04,被治愈了哈哈哈，结尾怒赞！本来以为是傻白甜没想到剧本还蛮不错的，两届奥斯卡影后挑本子眼光&演技都没得弹！哈哈一堆纽约喜剧熟脸。有广告狂人里头的那个TV总监啊，居然没人看出来。最后就是Caroline真的好美啊啊啊啊
48,西决,https://www.douban.com/people/c541223724/,allstar30 rating,还行,0,2016-09-17,中二大妈泡小鲜肉，过于梦幻了
49,NON,https://www.douban.com/people/66663254/,allstar30 rating,还行,1,2016-06-11,不停的尷尬 完全不勵志啊 人老了就不要混年輕圈
50,momo艾,https://www.douban.com/people/AgiChan1125/,allstar50 rating,力荐,2,2016-08-03,这爱就穿梭在、每一条发带～
51,两江狐子,https://www.douban.com/people/hsuperhat/,allstar30 rating,还行,0,2017-03-05,作有什么关系，开心就好。亲情可以毁了人一生还令人不自知，但要是不婚也很难指望黄昏时分的忘年恋有什么可能。真是个糟糕的世界。给我行我素Doris以及几十年如一日的演技担当莎莉菲尔德点十万个赞。不过还是很抱歉，我实在很不适应“熟女诱惑”。男主有着靓汤年轻时候的帅假笑。
52,海盗豚,https://www.douban.com/people/Budaphin/,allstar40 rating,推荐,0,2016-07-05,最近看到最喜感的一部电影了，从未见过在迷之尴尬和励志成长两者之间转换如此自如的片子。一帮美剧咖，感觉就是从各自片场穿越过来客串的，但粉丝看着挺嗨的。有人说结局有毒，我说，可以，这很结局。至于Doris悲不悲情，主要取决于她自己的心境，自怨自艾的话谁也开解不了她，但她可以活出精彩。
53,谧蝎,https://www.douban.com/people/escorpion/,allstar30 rating,还行,2,2016-06-14,此片简直就是断舍离宣传片，将断舍离的概念用一个故事将的十分透彻。物品不只是物品，还是你心理的映射，多雷斯的改变，从清空家中的废物开始，不管是否能够拥有梦想中的爱情，至少，她改变了。剧中的男主尽管帅气有才，受到同事爱戴，然而他也说出“我很怕别人不喜欢我。”你，和他们，又有多远？
54,一实,https://www.douban.com/people/Charlin_Min/,allstar30 rating,还行,0,2016-07-14,还好吧，虽然蛮积极向上的。追求幸福人人都可。无关年龄。不过卡洛琳没有破产姐妹里面好看
55,淋,https://www.douban.com/people/75215757/,allstar40 rating,推荐,0,2016-12-31,久违的少女心，哪有那么容易泯灭
56,SELVEN,https://www.douban.com/people/SELVEN/,allstar30 rating,还行,0,2017-06-27,63/100 暗恋是首诗。
57,C'est si bon,https://www.douban.com/people/2423369/,allstar40 rating,推荐,1,2016-08-07,竟然没有彩蛋……
58,york,https://www.douban.com/people/york_wu/,allstar30 rating,还行,1,2016-06-17,做到了笑中带泪
59,金轮际息烙,https://www.douban.com/people/misink/,allstar40 rating,推荐,0,2019-02-02,太单薄！原本期待看到一个身为老年人、女性、未婚者的角色如何重新进入早已脱节的社会，结果整片把所有重心放在恋爱这一件事上，着实太小了。另外各种既视感，不仅有2broken girls的C，还有grace&frankie的fuck it。
60,宇小敏,https://www.douban.com/people/yuminshuiqi/,allstar20 rating,较差,0,2018-09-14,女人老了还拎不清现实真的就可悲了。故事乏味人物不可爱连三观都摇摇欲坠。
61,Y.Phoenix,https://www.douban.com/people/roddickye/,allstar50 rating,力荐,1,2017-02-15,年度最佳喜剧！表演、台词、服装、音乐俱佳，老女孩的YY简直出神入化！
62,pandora刀刀,https://www.douban.com/people/pandoranavi/,allstar40 rating,推荐,0,2018-02-22,不错的小品文 至少可以做自己了 一辈子都是为了别人 母亲 胞弟 小鲜肉 能有个机会清零重新也是难得
63,camac,https://www.douban.com/people/camac/,allstar40 rating,推荐,0,2016-11-18,电视英雄群英传
64,† Cheryl,https://www.douban.com/people/CherylGirl/,comment-time ,2016-10-24 08:59:39,0,2016-10-24,好棒的少女心
65,CuRry_常喜舍；,https://www.douban.com/people/timorrowmain/,allstar30 rating,还行,0,2016-06-28,3.5，感觉还没结束。
66,laurenⅢ,https://www.douban.com/people/listenmumu/,allstar40 rating,推荐,0,2016-11-03,move the fucking on
67,轻灵真实,https://www.douban.com/people/2475703/,allstar30 rating,还行,0,2017-02-26,"why, that's pathetic"
68,优游卒岁,https://www.douban.com/people/2429292/,allstar30 rating,还行,0,2016-10-18,看得很让人尴尬，这么大年龄还春梦频发。人，是最难对自己有个正确认识的，人生之失败往往源于此。
69,Winnie,https://www.douban.com/people/BonnieWinnie/,allstar40 rating,推荐,0,2016-07-30,好可爱哦，我60岁也想穿这么多颜色在身上hhhhhhh
70,XOKORA,https://www.douban.com/people/MpokoraCyrus/,allstar30 rating,还行,0,2017-04-19,喜欢男主。剧情其实还好，看着浓妆艳抹的sally，其实不适感挺强烈的。
71,what'swilliam,https://www.douban.com/people/52286623/,allstar30 rating,还行,0,2016-08-31,3.6星。还蛮甜的，但是看到老太太亲小鲜肉还是有点尴尬。。。。。结局已经算是很梦幻了。。。
72,开开!,https://www.douban.com/people/vane0109/,allstar30 rating,还行,0,2017-05-10,我劝自己要口下留情，毕竟很快也要那么老了....
73,小哀,https://www.douban.com/people/hayibala/,allstar40 rating,推荐,0,2017-09-06,等我老了也要时常穿得像少女一样，然后当个可爱的姑妈。
74,Ether,https://www.douban.com/people/73770976/,allstar40 rating,推荐,3,2016-12-26,仿佛看见了我的未来 “Doris wait!”
75,爱幻想的小孩,https://www.douban.com/people/62469238/,allstar40 rating,推荐,0,2016-12-15,Sally Field简直是国宝。非常真诚又可爱。
76,追随,https://www.douban.com/people/66381815/,allstar40 rating,推荐,0,2016-07-01,莎莉·菲尔德好可爱
77,武康莎蔓莎,https://www.douban.com/people/MayaDey/,allstar40 rating,推荐,0,2016-09-20,在我看来，这是一部从头到尾都很好的喜剧片。
78,浮生若梦,https://www.douban.com/people/nodane/,allstar40 rating,推荐,0,2016-10-16,老太太可以多看看我的家里空无一物，也许囤积癖早治好了。别管多大的女人都憧憬爱情，但是闺蜜才是你最坚实的后盾。Live a little。这全片饱满鲜艳的色调，让我觉得老年生活也并没有那么暗淡啊，好像对未来又有了点信心。
79,Kayces,https://www.douban.com/people/15920466/,comment-time ,2016-09-01 22:15:50,0,2016-09-01,(201609012201)
80,Bc&L,https://www.douban.com/people/68840016/,allstar30 rating,还行,0,2016-10-07,老女人的青春治愈故事，可惜太平庸，平庸中也有点小感动，人啊，要趁年轻多做一些想做的事，留太多遗憾会后悔的。
81,黄色动力伞,https://www.douban.com/people/sifan121/,allstar40 rating,推荐,0,2016-07-29,这样的题材什么时候才能在中国被拍出来
82,醉清风tonight,https://www.douban.com/people/lian0070/,allstar40 rating,推荐,0,2016-07-28,关键词：成长，寻找自我。和爱情无关
83,桥本坏立,https://www.douban.com/people/july0707/,allstar30 rating,还行,2,2016-10-15,有人说看着一把年纪还要惦记不属于自己的小鲜肉感觉很心酸，没有尽情为自己活过。exo me？这个年纪依然扎鲜艳发带穿着少女短裙抹着粉嫩唇膏戴着猫眼眼镜，为了帅气小鲜肉少女心ドキドキ，这才叫尽情活过好吗。
84,古草加,https://www.douban.com/people/36008103/,allstar30 rating,还行,1,2016-11-13,嘲笑大妈一直YY的，我们又有谁比她更勇敢
85,平足小怪兽,https://www.douban.com/people/dorothy.C/,allstar40 rating,推荐,0,2016-07-25,喜欢。
86,蜜柑餡的溫文酥,https://www.douban.com/people/77212612/,allstar20 rating,较差,0,2017-05-03,很尷尬又很暖的感覺，但處在每個年齡都真的要至少有8成或以上與該年紀相符的心，不是嗎？老太太配小鹿亂撞的少女心，肯定會只會搞事情啊⋯沒覺得有女權的意思啊⋯她的內心就是個13歲少女，這就很要命了⋯
87,bloodmoon,https://www.douban.com/people/hippiecar/,allstar30 rating,还行,0,2016-12-26,哈哈哈哈哈，保持纯情
88,左儿,https://www.douban.com/people/lefter/,allstar30 rating,还行,0,2016-11-27,LGBT kindergarten什么的，各种黑纽约diversity太逗了。总脑补女主就是再老十岁的kristen wiig
89,蜉蝣,https://www.douban.com/people/lephemera/,allstar30 rating,还行,0,2016-07-04,幻想之爱才更真实。
90,冬贝与9-13刺青,https://www.douban.com/people/tattoo9-13/,allstar20 rating,较差,0,2016-12-09,从没看过这么大年龄的成长标签影片
91,[已注销],https://www.douban.com/people/lolimo909/,allstar10 rating,很差,2,2016-08-22,这特么是讲女权？这甚至没有表现出像《最后的假期》中女主因为热爱生活令人而振奋人心。这只不过是一个患有恋物癖的屌丝女自导自演的一场白日梦罢了。
92,叶枕,https://www.douban.com/people/DanP/,allstar50 rating,力荐,1,2016-07-11,老少女不让人讨厌其实是件非常难的事情，但做到了就能让人喜欢到心里。希望每一个可爱的人都能白发三千丈，心住小娇娘。
93,香草wawa,https://www.douban.com/people/vanilla1991/,allstar40 rating,推荐,1,2016-10-29,我莎莉阿姨少女心爆啦！
94,Fish,https://www.douban.com/people/lxy250/,allstar40 rating,推荐,0,2017-10-16,里面的歌好好听
95,张库岑,https://www.douban.com/people/7083923/,allstar50 rating,力荐,2,2016-06-09,ending好评！比inception要好
96,乍暖,https://www.douban.com/people/134002125/,allstar40 rating,推荐,0,2017-08-24,8/10。真少女电影，看的过程非常愉悦和享受。只希望所有人老了之后都能有这份勇气。
97,李后厨,https://www.douban.com/people/sevengrass/,allstar30 rating,还行,0,2018-09-14,价值观上实在是有点接受不了……
98,饥饿艺术家,https://www.douban.com/people/hackey/,allstar40 rating,推荐,0,2016-08-30,我和老邢的晚年生活
99,☆,https://www.douban.com/people/54463555/,allstar40 rating,推荐,0,2016-07-09,Sally Field！就看她的表演就值了！
